sample,region
smp_SRS016422,mouth
smp_SRS016424,mouth
smp_SRS016426,mouth
smp_SRS016428,ear
smp_SRS016430,ear
smp_SRS016434,nose
smp_SRS016437,stool
smp_SRS016449,mouth
smp_SRS016455,mouth
smp_SRS016458,mouth
smp_SRS016461,mouth
smp_SRS016464,mouth
smp_SRS016467,mouth
smp_SRS016470,mouth
smp_SRS016473,mouth
smp_SRS016476,mouth
smp_SRS016479,ear
smp_SRS016482,ear
smp_SRS016485,arm
smp_SRS016488,arm
smp_SRS016491,nose
smp_SRS016493,mouth
smp_SRS016517,stool
smp_SRS016525,mouth
smp_SRS016529,mouth
smp_SRS016531,mouth
smp_SRS016533,mouth
smp_SRS016535,mouth
smp_SRS016537,mouth
smp_SRS016539,mouth
smp_SRS016541,mouth
smp_SRS016543,mouth
smp_SRS016545,ear
smp_SRS016547,ear
smp_SRS016549,arm
smp_SRS016551,arm
smp_SRS016553,nose
smp_SRS016555,vagina
smp_SRS016557,vagina
smp_SRS016559,vagina
smp_SRS016592,mouth
smp_SRS016596,mouth
smp_SRS016598,mouth
smp_SRS016600,mouth
smp_SRS016602,mouth
smp_SRS016604,mouth
smp_SRS016606,mouth
smp_SRS016608,mouth
smp_SRS016610,mouth
smp_SRS016612,ear
smp_SRS016615,ear
smp_SRS016617,arm
smp_SRS016621,nose
smp_SRS016623,vagina
smp_SRS016625,vagina
smp_SRS016627,vagina
smp_SRS016630,stool
smp_SRS016642,mouth
smp_SRS016648,mouth
smp_SRS016651,mouth
smp_SRS016654,mouth
smp_SRS016657,mouth
smp_SRS016660,mouth
smp_SRS016663,mouth
smp_SRS016666,mouth
smp_SRS016669,mouth
smp_SRS016672,ear
smp_SRS016675,ear
smp_SRS016678,arm
smp_SRS016681,arm
smp_SRS016684,nose
smp_SRS016687,vagina
smp_SRS016690,vagina
smp_SRS016693,vagina
smp_SRS016708,mouth
smp_SRS016712,mouth
smp_SRS016714,mouth
smp_SRS016716,mouth
smp_SRS016718,mouth
smp_SRS016720,mouth
smp_SRS016722,mouth
smp_SRS016724,mouth
smp_SRS016726,mouth
smp_SRS016728,vagina
smp_SRS016730,vagina
smp_SRS016732,vagina
smp_SRS016753,stool
smp_SRS016761,mouth
smp_SRS016765,mouth
smp_SRS016767,mouth
smp_SRS016769,mouth
smp_SRS016771,mouth
smp_SRS016773,mouth
smp_SRS016775,mouth
smp_SRS016777,mouth
smp_SRS016779,mouth
smp_SRS016781,ear
smp_SRS016783,ear
smp_SRS016785,arm
smp_SRS016787,arm
smp_SRS016789,nose
smp_SRS016841,stool
smp_SRS016853,mouth
smp_SRS016859,mouth
smp_SRS016862,mouth
smp_SRS016865,mouth
smp_SRS016868,mouth
smp_SRS016871,mouth
smp_SRS016874,mouth
smp_SRS016877,mouth
smp_SRS016880,mouth
smp_SRS016883,ear
smp_SRS016886,ear
smp_SRS016889,arm
smp_SRS016892,arm
smp_SRS016895,nose
