SAMEA2622846	ERS492935	ERR562690
SAMEA2656987	ERS488596	ERR562691
SAMEA2657064	ERS492719	ERR562692
SAMEA2656964	ERS488915	ERR562693
SAMEA2619851	ERS488610	ERR562694
SAMEA2656964	ERS488915	ERR562695
SAMEA2622038	ERS491757	ERR562696
SAMEA2620847	ERS490021	ERR562697
SAMEA2619557	ERS488156	ERR562698
SAMEA2657038	ERS489566	ERR562699
SAMEA2622661	ERS492651	ERR562700
SAMEA2656964	ERS488915	ERR562701
SAMEA2622770	ERS492825	ERR562702
SAMEA2657051	ERS492880	ERR562703
SAMEA2620024	ERS488833	ERR562704
SAMEA2591094	ERS477989	ERR562705
SAMEA2620221	ERS489078	ERR562706
SAMEA2656965	ERS488900	ERR562707
SAMEA2657045	ERS488521	ERR562708
SAMEA2619557	ERS488156	ERR562709
SAMEA2656973	ERS491858	ERR562710
SAMEA2657099	ERS488705	ERR562711
SAMEA2656976	ERS488139	ERR562712
SAMEA2619944	ERS488731	ERR562713
SAMEA2657047	ERS489523	ERR562714
SAMEA2657034	ERS490356	ERR562715
SAMEA2621263	ERS490668	ERR562716
SAMEA2620920	ERS490115	ERR562717
SAMEA2657029	ERS490687	ERR562718
SAMEA2657104	ERS490915	ERR562719
SAMEA2619876	ERS488646	ERR562720
SAMEA2622345	ERS492186	ERR562721
SAMEA2657088	ERS492169	ERR562722
SAMEA2622132	ERS491887	ERR562723
SAMEA2620314	ERS489205	ERR562724
SAMEA2657028	ERS492804	ERR562725
SAMEA2591077	ERS477956	ERR562726
SAMEA2656955	ERS488262	ERR562727
SAMEA2619869	ERS488633	ERR562728
SAMEA2619958	ERS488753	ERR562729
SAMEA2657087	ERS492004	ERR562730
SAMEA2661639	ERS506046	ERR566174

