sample,region
smp_SRS062536,mouth
srp_SRS149471,mouth
smp_SRS043542,mouth
smp_SRS014807,mouth
smp_SRS046542,mouth
srp_SRS150183,mouth
smp_SRS063636,mouth
smp_SRS058527,mouth
srp_SRS100056,mouth
srp_SRS149921,mouth
smp_SRS020553,mouth
smp_SRS011458,mouth
smp_SRS018441,mouth
smp_SRS043034,mouth
smp_SRS064733,mouth
smp_SRS015625,mouth
smp_SRS015178,mouth
smp_SRS043149,mouth
smp_SRS024647,mouth
srp_SRS145212,mouth
srp_SRS145401,mouth
smp_SRS020470,stool
srp_SRS077486,stool
srp_SRS101613,stool
srp_SRS102186,stool
srp_SRS075215,stool
smp_SRS057447,stool
smp_SRS018655,stool
smp_SRS044146,stool
smp_SRS013543,stool
smp_SRS018733,stool
smp_SRS042628,stool
srp_SRS079112,stool
srp_SRS146812,stool
srp_SRS148642,stool
srp_SRS146053,stool
smp_SRS024454,stool
srp_SRS078330,stool
smp_SRS016018,stool
srp_SRS074605,stool
smp_SRS013687,stool
smp_SRS055697,stool
srp_SRS105153,stool
smp_SRS015815,stool
srp_SRS098644,stool
srp_SRS098443,stool
smp_SRS063961,stool
srp_SRS145519,stool
srp_SRS149483,stool
smp_SRS019990,stool
smp_SRS049428,stool
smp_SRS017641,stool
smp_SRS022798,stool
smp_SRS056505,stool
smp_SRS047967,stool
smp_SRS015518,stool
srp_SRS140815,stool
smp_SRS048299,stool
srp_SRS101253,stool
smp_SRS018313,stool
srp_SRS075908,stool
smp_SRS014999,stool
srp_SRS146926,stool
srp_SRS104824,stool
smp_SRS015452,stool
srp_SRS149651,stool
smp_SRS062847,stool
srp_SRS098571,stool
smp_SRS063918,stool
smp_SRS022669,stool
smp_SRS055482,stool
smp_SRS020413,stool
srp_SRS102282,stool
smp_SRS018068,stool
smp_SRS048853,stool
srp_SRS148588,stool
smp_SRS020350,stool
srp_SRS103008,stool
srp_SRS098272,stool
smp_SRS018712,stool
srp_SRS146347,stool
smp_SRS022480,stool
srp_SRS148270,stool
smp_SRS064557,stool
smp_SRS016152,stool
smp_SRS057267,stool
smp_SRS019089,stool
smp_SRS023047,stool
srp_SRS146944,stool
srp_SRS079022,stool
srp_SRS148462,stool
srp_SRS045321,stool
srp_SRS104104,stool
smp_SRS015854,stool
srp_SRS101974,stool
srp_SRS075746,stool
smp_SRS024094,stool
smp_SRS063807,stool
srp_SRS103598,stool
smp_SRS011621,stool
srp_SRS150051,stool
smp_SRS045526,stool
srp_SRS101851,stool
srp_SRS145194,stool
srp_SRS144410,stool
smp_SRS058770,stool
smp_SRS054461,stool
smp_SRS011653,stool
smp_SRS063985,stool
srp_SRS077248,stool
smp_SRS019846,stool
srp_SRS144940,stool
smp_SRS050599,stool
smp_SRS015332,stool
smp_SRS013762,stool
srp_SRS098827,stool
smp_SRS015724,stool
srp_SRS143373,stool
srp_SRS099932,stool
srp_SRS144314,stool
smp_SRS056656,stool
srp_SRS074983,stool
srp_SRS142505,stool
smp_SRS044415,stool
smp_SRS056620,stool
smp_SRS063921,stool
smp_SRS024265,stool
srp_SRS143780,stool
smp_SRS042436,stool
srp_SRS147595,stool
srp_SRS105028,stool
srp_SRS148816,stool
srp_SRS076824,stool
smp_SRS046313,stool
smp_SRS046349,stool
srp_SRS102465,stool
smp_SRS017266,stool
srp_SRS147346,stool
srp_SRS145327,stool
smp_SRS044088,stool
smp_SRS013177,stool
srp_SRS144152,stool
srp_SRS149576,stool
smp_SRS042703,stool
smp_SRS045493,stool
smp_SRS023605,stool
srp_SRS144554,stool
srp_SRS019534,stool
srp_SRS065486,stool
srp_SRS077671,stool
srp_SRS075158,stool
srp_SRS098103,stool
smp_SRS063797,stool
srp_SRS150165,stool
srp_SRS144203,stool
smp_SRS020811,stool
srp_SRS104929,stool
srp_SRS149198,stool
smp_SRS057901,stool
srp_SRS148074,stool
smp_SRS043769,stool
smp_SRS017103,stool
srp_SRS140885,stool
smp_SRS065500,stool
srp_SRS077612,stool
srp_SRS098312,stool
srp_SRS098685,stool
smp_SRS016841,stool
srp_SRS146833,stool
smp_SRS045350,stool
smp_SRS022414,stool
smp_SRS049982,stool
smp_SRS045910,stool
srp_SRS149345,stool
smp_SRS023851,stool
srp_SRS018872,stool
smp_SRS024625,stool
smp_SRS016753,stool
smp_SRS021853,stool
smp_SRS054608,stool
srp_SRS102034,stool
smp_SRS020233,stool
smp_SRS017307,stool
smp_SRS053525,stool
smp_SRS051609,stool
srp_SRS143269,stool
srp_SRS146479,stool
srp_SRS145851,stool
srp_SRS105007,stool
srp_SRS078438,stool
srp_SRS103841,stool
smp_SRS045877,stool
srp_SRS144056,stool
smp_SRS019685,stool
smp_SRS011452,stool
srp_SRS143561,stool
srp_SRS098749,stool
smp_SRS043701,stool
smp_SRS022987,stool
srp_SRS074799,stool
srp_SRS147652,stool
srp_SRS143102,stool
smp_SRS013638,stool
srp_SRS148531,stool
smp_SRS017521,stool
srp_SRS098062,stool
srp_SRS144104,stool
srp_SRS065323,stool
smp_SRS056259,stool
srp_SRS104713,stool
smp_SRS042415,stool
srp_SRS143180,stool
srp_SRS146716,stool
smp_SRS021601,stool
smp_SRS022033,stool
smp_SRS022924,stool
smp_SRS020527,stool
smp_SRS021109,stool
smp_SRS016056,stool
smp_SRS063898,stool
smp_SRS022546,stool
srp_SRS145387,stool
srp_SRS100370,stool
srp_SRS147088,stool
smp_SRS016400,stool
smp_SRS019267,stool
smp_SRS042803,stool
srp_SRS141197,stool
srp_SRS103752,stool
srp_SRS098514,stool
smp_SRS023791,stool
smp_SRS015133,stool
smp_SRS023422,stool
srp_SRS142619,stool
srp_SRS077365,stool
smp_SRS021724,stool
smp_SRS020755,stool
srp_SRS144506,stool
smp_SRS024331,stool
srp_SRS142562,stool
smp_SRS050422,stool
smp_SRS055665,stool
srp_SRS149765,stool
smp_SRS018370,stool
smp_SRS020584,stool
smp_SRS048083,stool
srp_SRS148108,stool
srp_SRS149095,stool
srp_SRS097975,stool
smp_SRS015578,stool
smp_SRS064233,stool
smp_SRS042290,stool
smp_SRS011415,stool
srp_SRS100280,stool
srp_SRS077054,stool
srp_SRS102768,stool
smp_SRS062610,stool
smp_SRS018872,stool
srp_SRS143818,stool
smp_SRS021364,stool
srp_SRS148690,stool
srp_SRS147919,stool
srp_SRS143504,stool
smp_SRS051086,stool
srp_SRS077157,stool
srp_SRS148939,stool
srp_SRS019381,stool
smp_SRS049949,stool
smp_SRS017935,stool
srp_SRS078132,stool
srp_SRS102401,stool
smp_SRS020869,stool
srp_SRS144698,stool
smp_SRS013490,stool
srp_SRS147445,stool
srp_SRS102672,stool
smp_SRS018920,stool
smp_SRS014572,stool
srp_SRS146413,stool
smp_SRS049748,stool
srp_SRS075963,stool
smp_SRS018489,stool
smp_SRS013216,stool
smp_SRS042669,stool
srp_SRS079244,stool
srp_SRS150023,stool
smp_SRS020926,stool
smp_SRS022609,stool
srp_SRS077422,stool
srp_SRS147223,stool
srp_SRS144641,stool
srp_SRS018920,stool
srp_SRS078822,stool
smp_SRS052555,stool
srp_SRS075538,stool
smp_SRS050374,stool
srp_SRS148480,stool
smp_SRS023971,stool
smp_SRS063608,stool
smp_SRS043804,stool
srp_SRS018655,stool
smp_SRS063827,stool
srp_SRS104197,stool
smp_SRS014345,stool
smp_SRS014659,stool
srp_SRS075851,stool
srp_SRS098224,stool
smp_SRS020698,stool
srp_SRS143639,stool
srp_SRS148357,stool
smp_SRS023671,stool
smp_SRS048819,stool
smp_SRS065421,stool
smp_SRS018607,stool
smp_SRS023302,stool
srp_SRS147022,stool
srp_SRS144296,stool
srp_SRS079316,stool
srp_SRS078498,stool
smp_SRS021427,stool
srp_SRS141497,stool
srp_SRS144488,stool
smp_SRS051031,stool
srp_SRS100040,stool
srp_SRS147673,stool
srp_SRS142874,stool
smp_SRS020176,stool
smp_SRS023176,stool
smp_SRS017997,stool
smp_SRS014823,stool
smp_SRS024028,stool
srp_SRS142503,stool
smp_SRS020641,stool
smp_SRS049959,stool
smp_SRS015247,stool
smp_SRS047561,stool
srp_SRS076929,stool
smp_SRS065263,stool
